n,mask,t,x,y,z
403,32,13.433333333333335,-5.573738540677999,11.314177175363131,3.555862988943837
404,40,13.466666666666667,-0.033476836348774915,15.45552917001147,3.3579339957453245
405,40,13.5,-0.033476836348774915,15.45552917001147,3.3579339957453245
406,40,13.533333333333333,0.7544335176647331,15.917960462478556,3.6513666385817327
407,56,13.566666666666665,0.9266080024533132,15.899462029913002,3.636522190764563
408,24,13.6,2.007641894908235,18.203874295036204,4.201479079548881
409,28,13.633333333333333,2.200123749162189,14.933584366125677,4.5792851783866535
410,28,13.666666666666664,2.771163296433754,14.888334812616815,4.670041102790088
411,92,13.7,3.8336197104235232,14.877605150755427,4.938028459591434
412,124,13.733333333333333,3.8925121826547655,15.463233660213175,4.960155026355189
413,60,13.766666666666667,5.142845742214706,16.106630845239756,5.169589274372497
414,60,13.8,5.818741347559191,15.909749864792895,5.240651621665052
415,124,13.833333333333336,6.810148908926019,16.310318771262967,5.361231016627988
416,124,13.866666666666667,7.402500634011676,15.989196252104795,5.36909313108027
417,108,13.9,8.256421778223718,16.836416958137146,5.423889731797879
418,108,13.933333333333335,9.157663095372904,16.19396712649121,5.408092784503816
419,108,13.966666666666667,9.924267317984908,17.089247430130868,5.352614331441608
420,108,14.0,10.749370971331027,16.55119845591638,5.231427157605912
421,108,14.033333333333333,11.610433615662105,17.516757096094633,5.125266005383731
422,108,14.066666666666665,12.236296290883107,16.935365744384082,4.968350439411329
423,108,14.1,13.07147548132946,17.786901574528784,4.692428702344102
424,108,14.133333333333333,13.348921185260439,17.363212625239154,4.556494169378434
425,108,14.166666666666664,14.169025937210176,18.20257363969139,4.2967456135299065
426,108,14.2,14.249901303119142,17.934413885397127,4.128058509847748
427,108,14.233333333333333,14.533302716035015,18.187111575764128,3.736154873844925
428,108,14.266666666666667,14.463608151937304,18.153003062623178,3.663646592654709
429,108,14.3,14.613922794697228,18.32968240798897,3.3957348551705
430,108,14.333333333333336,14.436390950597511,18.690721197657133,3.299726945912548
431,108,14.366666666666667,14.141782526407493,19.129265457198397,3.255489546686203
432,108,14.4,14.175869403720677,19.1282829614244,3.1503642410077513
433,108,14.433333333333335,14.041871053926865,19.185404135317768,3.2281222548238437
434,108,14.466666666666667,14.158044559049811,19.14493664533317,3.1387666732435906
435,108,14.5,14.197438272589785,19.517124799607142,2.7690112878872783
436,108,14.533333333333333,14.334999211632569,19.472284128111788,2.78450927362264
437,108,14.566666666666665,14.481519886023033,20.219932592776424,2.478100096764411
438,108,14.6,14.588159920832913,20.240901386199784,2.498341852860417
439,108,14.633333333333333,14.759347733018828,21.22409009501205,2.5195070244290134
440,100,14.666666666666664,14.520136901457304,21.218572798975906,2.4723947644310327
441,96,14.7,15.37398096099382,21.954531093122714,2.7168077291195747
442,96,14.733333333333333,15.56327661805807,22.071838568126644,2.7061381514469067
443,32,14.766666666666667,-1.7448859794328335,11.503243982345335,3.8733367719520433
444,40,14.8,16.179477575663743,22.83877571364838,1.7467424397628752
445,40,14.833333333333336,16.14727466087785,23.20970855152453,1.5647709838151764
446,40,14.866666666666667,16.951367632455366,23.72618487701168,1.1896094302158204
447,40,14.9,16.90918181791093,23.96260621722444,0.7823176881480032
448,40,14.933333333333335,17.064682783506615,24.064198664442717,1.3882748893722294
449,104,14.966666666666667,16.980672219356002,24.0686361028957,1.072920190780661
450,104,15.0,17.267135743551812,24.1138740382911,1.3971660216876902
451,108,15.033333333333333,16.880996409651413,24.049092728050415,1.824672065619216
452,108,15.066666666666665,16.945618652337227,24.03141350318528,1.9505201425890184
453,44,15.1,17.098383005116826,23.776402820855512,2.5624615124561467
454,44,15.133333333333333,17.08254833821692,23.77449120043618,2.5736356411263466
455,44,15.166666666666664,17.165496106583063,24.01248647148052,2.8241622794255408
456,44,15.2,17.154329134095246,24.061349763703,2.746877501170541
457,12,15.233333333333333,17.35576110147152,21.93130051389909,2.9234874456652893
458,12,15.266666666666667,16.600607327474364,26.64199056225008,2.0296609806400343
459,12,15.3,16.64978035679857,25.692469496167746,2.077421030159905
460,12,15.333333333333336,15.52541039131882,31.26350326083437,0.5062392113193084
461,12,15.366666666666667,15.512859591049926,31.223747329422203,0.5265340528150612
462,12,15.4,15.749382807583673,23.630954434965894,1.0017774563163937
463,44,15.433333333333335,15.64925128163175,24.275724238453922,0.8390443237811142
464,108,15.466666666666667,15.281735977775323,24.895244110935067,1.2032695785324965
465,108,15.5,15.21345491203295,24.94851590934028,1.2003835453877758
466,44,15.533333333333333,14.704234893284497,23.692291787141627,1.7746381698334677
467,108,15.566666666666665,14.706854315575907,24.418434458054147,1.787874267466059
468,108,15.6,14.523535419209,24.48791314140211,2.1541910461986755
469,108,15.633333333333333,14.54576684290167,24.35807182451324,2.381836061325384
470,108,15.666666666666664,14.369272667020388,24.37241321045979,2.6963770517329504
471,108,15.7,14.337676700654125,24.282197208351057,2.9896943553025066
472,108,15.733333333333333,14.226943126340286,24.27994489561271,3.24386354945099
473,108,15.766666666666667,14.18211065899883,24.47131974797513,3.3830059937607566
474,108,15.8,14.03242390350553,24.484108470597164,3.4764111590049307
475,108,15.833333333333336,14.022875006078351,24.678380637334172,3.5488759400008196
476,108,15.866666666666667,13.958499880955525,24.67048629278413,3.418093766930013
477,108,15.9,13.789191975939062,25.401221362926503,3.393505792234757
478,108,15.933333333333335,14.026347690547436,25.30196643948329,3.1738758428226936
479,108,15.966666666666667,13.870515231615654,25.8944121390233,3.0108197110120516
480,100,16.0,13.982910802004854,26.019650857924557,2.9161380401087578
481,108,16.033333333333335,14.35327524863134,26.99241705337894,3.0372907334718358
482,104,16.066666666666666,15.119309011352275,27.17746666051681,3.2531663801120208
483,40,16.1,15.563178906085351,28.882045743481694,4.274175355437826
484,40,16.133333333333333,15.563178906085351,28.882045743481694,4.274175355437826
